Funnel Historico por Mes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Enero 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Ange,,,,,,,Piso,,,,,,,,Digital ,,,,,,,Galerias Tlaxcala,,,,,,,Otros,,,,,,,,Plaza Moraledas,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,,,,,,,,,,,,,,,,,,,,
Prueba de manejo,103,77,75%,103,75%,,Prueba de manejo,14,12,86%,14,86%,,Prueba de manejo,48,32,67%,48,67%,,,Prueba de manejo,23,16,70%,23,70%,,Prueba de manejo,13,8,62%,13,62%,,Prueba de manejo,6,4,110%,3,110%,,,Prueba de manejo,25,5,20%,25,20%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito generada,92,92,100%,92,100%,,Solicitud de crédito generada,14,16,110%,14,110%,,Solicitud de crédito generada,40,28,70%,40,70%,,,Solicitud de crédito generada,20,13,65%,20,65%,,Solicitud de crédito generada,12,11,92%,12,92%,,Solicitud de crédito generada,6,21,110%,3,110%,,,Solicitud de crédito generada,13,3,23%,13,23%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito aprobada,46,30,65%,46,65%,,Solicitud de crédito aprobada,7,4,57%,7,57%,,Solicitud de crédito aprobada,17,8,47%,17,47%,,,Solicitud de crédito aprobada,14,10,71%,14,71%,,Solicitud de crédito aprobada,6,1,17%,6,17%,,Solicitud de crédito aprobada,2,6,110%,0,110%,,,Solicitud de crédito aprobada,8,1,13%,8,13%,,,,,,,,,,,,,,,,,,,,,
Formalizado,26,18,69%,26,69%,,Formalizado,5,2,40%,5,40%,,Formalizado,8,6,75%,8,75%,,,Formalizado,7,8,110%,7,110%,,Formalizado,4,1,25%,4,25%,,Formalizado,2,1,110%,0,110%,,,Formalizado,3,0,0%,3,0%,,,,,,,,,,,,,,,,,,,,,
Ventas ,30,30,100%,30,100%,,Ventas ,4,2,50%,4,50%,,Ventas ,14,9,64%,14,64%,,,Ventas ,8,12,110%,8,110%,,Ventas ,4,1,25%,3,33%,,Ventas ,0,6,0,0,0,,,Ventas ,3,0,0%,3,0%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Abril 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Ange,,,,,,,Piso ,,,,,,,,Digital ,,,,,,,Gran Patio,,,,,,,Otros,,,,,,,,Estrategia de Prospeccion,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,,,,,,,,,,,,,,,,,,,
Ventas ,30,30,100%,30,100%,,Ventas ,4,4,100%,4,100%,,Ventas ,14,13,93%,14,93%,,,Ventas ,10,5,50%,10,50%,,Ventas ,4,4,100%,4,100%,,Ventas ,2,2,100%,0,100%,,,Ventas ,3,2,67%,3,67%,,,,,,,,,,,,,,,,,,,,,
Leads generados,757,1149,110%,757,110%,,Leads generados,180,188,104%,180,104%,,Leads generados,80,43,54%,80,54%,,,Leads generados,680,749,110%,680,110%,,Leads generados,120,113,94%,120,94%,,Leads generados,81,28,35%,49,35%,,,Leads generados,150,28,19%,150,19%,,,,,,,,,,,,,,,,,,,,,
Leads efectivos,501,873,110%,501,110%,,Leads efectivos,99,166,110%,99,110%,,Leads efectivos,80,43,54%,80,54%,,,Leads efectivos,410,500,110%,410,110%,,Leads efectivos,80,110,110%,80,110%,,Leads efectivos,29,27,93%,17,93%,,,Leads efectivos,80,27,34%,80,34%,,,,,,,,,,,,,,,,,,,,,
Cita programada,214,174,81%,214,81%,,Cita programada,24,34,110%,24,110%,,Cita programada,80,43,54%,80,54%,,,Cita programada,40,70,110%,40,110%,,Cita programada,24,15,63%,24,63%,,Cita programada,6,11,183%,3,183%,,,Cita programada,40,1,3%,40,3%,,,,,,,,,,,,,,,,,,,,,
Cita efectiva,149,114,77%,149,77%,,Cita efectiva,20,16,80%,20,80%,,Cita efectiva,80,43,54%,80,54%,,,Cita efectiva,33,30,91%,33,91%,,Cita efectiva,16,13,81%,16,81%,,Cita efectiva,6,11,183%,3,183%,,,Cita efectiva,35,1,3%,35,3%,,,,,,,,,,,,,,,,,,,,,
Prueba de manejo,100,81,81%,100,81%,,Prueba de manejo,14,16,110%,14,110%,,Prueba de manejo,48,28,58%,48,58%,,,Prueba de manejo,23,17,74%,23,74%,,Prueba de manejo,13,8,62%,13,62%,,Prueba de manejo,6,1,17%,3,17%,,,Prueba de manejo,25,0,0%,25,0%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito generada,100,59,59%,100,59%,,Solicitud de crédito generada,14,10,71%,14,71%,,Solicitud de crédito generada,40,13,33%,40,33%,,,Solicitud de crédito generada,20,6,30%,20,30%,,Solicitud de crédito generada,12,9,75%,12,75%,,Solicitud de crédito generada,6,16,267%,3,267%,,,Solicitud de crédito generada,13,5,38%,13,38%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito aprobada,46,35,76%,46,76%,,Solicitud de crédito aprobada,7,6,86%,7,86%,,Solicitud de crédito aprobada,17,11,65%,17,65%,,,Solicitud de crédito aprobada,14,5,36%,14,36%,,Solicitud de crédito aprobada,6,5,83%,6,83%,,Solicitud de crédito aprobada,2,6,300%,0,300%,,,Solicitud de crédito aprobada,8,2,25%,8,25%,,,,,,,,,,,,,,,,,,,,,
Formalizado,26,17,65%,26,65%,,Formalizado,5,4,80%,5,80%,,Formalizado,8,8,100%,8,100%,,,Formalizado,7,2,29%,7,29%,,Formalizado,4,2,50%,4,50%,,Formalizado,2,0,0%,0,0%,,,Formalizado,3,1,33%,3,33%,,,,,,,,,,,,,,,,,,,,,
Ventas ,30,30,100%,30,100%,,Ventas ,4,4,100%,4,100%,,Ventas ,14,13,93%,14,93%,,,Ventas ,10,5,50%,10,50%,,Ventas ,4,4,100%,4,100%,,Ventas ,2,2,100%,0,100%,,,Ventas ,3,2,67%,3,67%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Mayo 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Ange,,,,,,,Piso ,,,,,,,,Digital ,,,,,,,Gran Patio,,,,,,,Otros,,,,,,,,Estrategia de Prospeccion,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,,,,,,,,,,,,,,,,,,,
Ventas ,41,34,83%,41,83%,,Ventas ,7,3,43%,7,43%,,Ventas ,17,12,71%,17,71%,,,Ventas ,13,9,69%,13,69%,,Ventas ,5,3,40%,5,40%,,Ventas ,0,6,100%,0,100%,,,Ventas ,2,2,100%,2,100%,,,,,,,,,,,,,,,,,,,,,
Leads generados,970,815,84%,970,84%,,Leads generados,190,157,83%,190,83%,,Leads generados,80,65,81%,80,81%,,,Leads generados,500,361,72%,500,72%,,Leads generados,120,114,95%,120,95%,,Leads generados,20,37,110%,20,110%,,,Leads generados,80,81,101%,80,101%,,,,,,,,,,,,,,,,,,,,,
Leads efectivos,789,689,87%,789,87%,,Leads efectivos,140,143,102%,140,102%,,Leads efectivos,80,65,81%,80,81%,,,Leads efectivos,410,273,67%,410,67%,,Leads efectivos,100,103,103%,100,103%,,Leads efectivos,20,29,110%,20,110%,,,Leads efectivos,80,76,95%,80,95%,,,,,,,,,,,,,,,,,,,,,
Cita programada,214,166,78%,214,78%,,Cita programada,50,15,30%,50,30%,,Cita programada,80,65,81%,80,81%,,,Cita programada,100,37,37%,100,37%,,Cita programada,25,14,56%,25,56%,,Cita programada,6,3,50%,6,50%,,,Cita programada,40,32,80%,40,80%,,,,,,,,,,,,,,,,,,,,,
Cita efectiva,160,157,98%,160,98%,,Cita efectiva, ,14,40%,35,40%,,Cita efectiva,80,65,81%,80,81%,,,Cita efectiva,60,32,53%,60,53%,,Cita efectiva,20,13,65%,20,65%,,Cita efectiva,6,2,33%,6,33%,,,Cita efectiva,35,31,89%,35,89%,,,,,,,,,,,,,,,,,,,,,
Prueba de manejo,100,121,110%,100,110%,,Prueba de manejo,28,14,50%,28,50%,,Prueba de manejo,48,34,71%,48,71%,,,Prueba de manejo,30,26,87%,30,87%,,Prueba de manejo,15,9,60%,15,60%,,Prueba de manejo,6,7,110%,6,110%,,,Prueba de manejo,10,31,110%,10,110%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito generada,70,76,109%,70,109%,,Solicitud de crédito generada,16,9,56%,16,56%,,Solicitud de crédito generada,30,16,53%,30,53%,,,Solicitud de crédito generada,25,14,56%,25,56%,,Solicitud de crédito generada,12,14,110%,12,110%,,Solicitud de crédito generada,6,20,110%,6,110%,,,Solicitud de crédito generada,7,3,43%,7,43%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito aprobada,42,40,95%,42,95%,,Solicitud de crédito aprobada,11,6,55%,11,55%,,Solicitud de crédito aprobada,20,6,30%,20,30%,,,Solicitud de crédito aprobada,20,10,50%,20,50%,,Solicitud de crédito aprobada,8,6,75%,8,75%,,Solicitud de crédito aprobada,2,10,110%,2,110%,,,Solicitud de crédito aprobada,4,2,50%,4,50%,,,,,,,,,,,,,,,,,,,,,
Formalizado,33,19,58%,33,58%,,Formalizado,6,3,50%,6,50%,,Formalizado,14,3,21%,14,21%,,,Formalizado,11,5,45%,11,45%,,Formalizado,5,3,60%,5,60%,,Formalizado,2,4,110%,2,110%,,,Formalizado,2,1,50%,2,50%,,,,,,,,,,,,,,,,,,,,,
Ventas ,41,34,83%,41,83%,,Ventas ,7,3,43%,7,43%,,Ventas ,17,12,71%,17,71%,,,Ventas ,13,9,69%,13,69%,,Ventas ,5,3,40%,5,40%,,Ventas ,0,6,100%,0,100%,,,Ventas ,2,2,100%,2,100%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Junio 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Ange,,,,,,,Piso ,,,,,,,,Digital ,,,,,,,Gran Patio,,,,,,,Otros,,,,,,,,Estrategia de Prospeccion,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,,,,,,,,,,,,,,,,,,,
Ventas ,40,40,100%,40,100%,,Ventas ,7,9,110%,7,110%,,Ventas ,17,10,59%,17,59%,,,Ventas ,13,12,92%,13,92%,,Ventas ,5,4,80%,5,80%,,Ventas ,5,5,100%,5,100%,,,Ventas ,2,0,0%,2,0%,,,,,,,,,,,,,,,,,,,,,
Leads generados,970,1083,110%,970,110%,,Leads generados,190,259,110%,190,110%,,Leads generados,80,59,74%,80,74%,,,Leads generados,500,576,110%,500,110%,,Leads generados,120,96,80%,120,80%,,Leads generados,20,53,110%,53,110%,,,Leads generados,80,40,50%,80,50%,,,,,,,,,,,,,,,,,,,,,
Leads efectivos,789,694,88%,789,88%,,Leads efectivos,140,200,110%,140,110%,,Leads efectivos,80,59,74%,80,74%,,,Leads efectivos,410,292,71%,410,71%,,Leads efectivos,100,80,80%,100,80%,,Leads efectivos,20,36,110%,36,110%,,,Leads efectivos,80,27,34%,80,34%,,,,,,,,,,,,,,,,,,,,,
Cita programada,214,226,106%,214,106%,,Cita programada,50,51,102%,50,102%,,Cita programada,80,59,74%,80,74%,,,Cita programada,100,69,69%,100,69%,,Cita programada,25,16,64%,25,64%,,Cita programada,6,20,110%,20,110%,,,Cita programada,40,11,28%,40,28%,,,,,,,,,,,,,,,,,,,,,
Cita efectiva,160,177,110%,160,110%,,Cita efectiva,35,39,110%,35,110%,,Cita efectiva,80,59,74%,80,74%,,,Cita efectiva,60,34,57%,60,57%,,Cita efectiva,20,21,105%,20,105%,,Cita efectiva,6,16,110%,16,110%,,,Cita efectiva,35,8,23%,35,23%,,,,,,,,,,,,,,,,,,,,,
Prueba de manejo,100,111,110%,100,110%,,Prueba de manejo,28,35,110%,28,110%,,Prueba de manejo,48,31,65%,48,65%,,,Prueba de manejo,30,21,70%,30,70%,,Prueba de manejo,15,10,67%,15,67%,,Prueba de manejo,6,10,110%,10,110%,,,Prueba de manejo,10,4,40%,10,40%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito generada,90,97,108%,90,108%,,Solicitud de crédito generada,16,23,110%,16,110%,,Solicitud de crédito generada,30,13,43%,30,43%,,,Solicitud de crédito generada,25,19,76%,25,76%,,Solicitud de crédito generada,12,12,100%,12,100%,,Solicitud de crédito generada,6,25,110%,25,110%,,,Solicitud de crédito generada,7,5,71%,7,71%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito aprobada,42,46,110%,42,110%,,Solicitud de crédito aprobada,11,10,91%,11,91%,,Solicitud de crédito aprobada,20,9,45%,20,45%,,,Solicitud de crédito aprobada,20,10,50%,20,50%,,Solicitud de crédito aprobada,8,6,75%,8,75%,,Solicitud de crédito aprobada,2,10,110%,10,110%,,,Solicitud de crédito aprobada,4,1,25%,4,25%,,,,,,,,,,,,,,,,,,,,,
Formalizado,33,25,76%,33,76%,,Formalizado,6,5,83%,6,83%,,Formalizado,14,6,43%,14,43%,,,Formalizado,11,5,45%,11,45%,,Formalizado,5,4,80%,5,80%,,Formalizado,2,5,110%,5,110%,,,Formalizado,2,0,0%,2,0%,,,,,,,,,,,,,,,,,,,,,
Ventas ,40,40,100%,40,100%,,Ventas ,7,9,110%,7,110%,,Ventas ,17,10,59%,17,59%,,,Ventas ,13,12,92%,13,92%,,Ventas ,5,4,80%,5,80%,,Ventas ,5,5,100%,5,100%,,,Ventas ,2,0,0%,2,0%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
